Sloid		21165225	793	79	72	54	94	90	95	62	71	91	85	
Qyz		21168352	793	98	60	80	60	86	91	80	99	87	52	
Cdv		21161807	792	86	67	73	81	79	94	76	81	90	65	
Sfqweh		21162759	791	57	66	100	97	99	75	85	55	96	61	
Npbhow		21169364	790	73	76	98	54	77	95	56	74	89	98	
Towkbjz		21166704	789	95	51	86	61	78	59	98	99	85	77	
Gem		21163901	788	65	77	60	85	99	98	80	77	80	67	
Hbliri		21160555	788	88	89	56	92	95	73	59	87	80	69	
Hykxjzu		21165227	788	67	56	72	84	78	87	94	82	78	90	
Ajeqioz		21163987	787	85	69	69	77	75	94	100	58	83	77	
Ejt		21162445	787	67	88	75	65	79	68	94	79	94	78	
Wmtgo		21163497	786	88	57	84	65	86	85	74	98	87	62	
Yyqgajq		21162022	786	74	82	82	99	89	81	73	53	68	85	
Lhyp		21169435	786	91	97	88	59	80	97	69	88	53	64	
Daxyq		21160889	785	51	70	87	99	98	97	71	57	84	71	
Equd		21162348	784	73	99	65	77	77	80	82	58	90	83	
Msz		21165629	783	54	90	83	94	75	81	98	62	61	85	
Zbt		21168610	782	86	63	78	89	80	64	98	77	67	80	
Asvbm		21168705	782	75	74	93	62	79	90	77	64	100	68	
Haczyh		21162494	782	69	83	84	83	90	97	85	75	64	52	
Zetbqe		21164593	780	70	84	79	57	97	91	90	60	67	85	
Frzro		21161088	779	83	78	57	89	99	82	56	91	70	74	
Fmkim		21167900	779	61	97	74	67	91	99	81	79	75	55	
Icvsc		21160153	779	87	90	80	100	82	55	91	50	82	62	
Fbglgz		21167162	777	84	72	56	98	82	79	89	93	73	51	
Sac		21161763	777	94	93	97	58	95	66	87	84	51	52	
Nzh		21167604	777	79	99	66	53	83	52	82	94	100	69	
Pbk		21167993	776	56	52	100	88	95	70	89	65	100	61	
Cdmo		21169172	776	75	82	54	80	100	78	89	64	62	92	
Oonxrqy		21165791	774	66	63	87	92	63	73	71	81	86	92	
Hoz		21167124	774	72	53	90	66	92	62	78	86	93	82	
Lyjpqou		21168867	773	58	74	78	96	64	88	80	52	92	91	
Khfxaxq		21162737	772	75	90	74	77	65	53	99	96	72	71	
Jqge		21165433	772	73	96	62	54	75	59	90	100	89	74	
Hohpk		21163584	771	51	74	90	87	88	91	55	56	85	94	
Igekyr		21168638	770	71	80	85	96	66	59	76	75	74	88	
Nmwb		21160440	769	81	90	87	82	67	50	86	91	52	83	
Mjxxwt		21160083	766	97	54	77	54	54	88	98	95	76	73	
Xinfg		21166671	764	83	88	94	61	88	61	79	69	72	69	
Iurp		21162404	764	74	72	78	96	53	91	72	98	70	60	
Kisux		21163855	764	52	74	98	65	74	87	76	93	59	86	
Gwbsqf		21163694	763	75	99	69	82	85	60	94	87	50	62	
Ireqgj		21164919	763	82	86	78	56	75	73	82	84	67	80	
Tbsguvz		21167584	762	87	99	55	69	89	55	80	66	64	98	
Lsvxzk		21160274	762	89	68	72	69	78	77	70	86	91	62	
Rsw		21168380	761	81	93	63	60	97	75	91	71	73	57	
Cxae		21166955	761	79	80	89	82	55	85	64	80	82	65	
Oidznpg		21162861	760	98	51	98	54	70	77	81	97	64	70	
Zaus		21164387	760	96	99	99	73	50	87	62	54	54	86	
Jtkuqpz		21167080	760	65	77	92	95	57	88	83	93	54	56	
Tegyi		21167926	760	51	88	91	91	64	72	67	78	69	89	
Ramdi		21168112	760	94	61	64	98	69	73	66	65	89	81	
Pvorpj		21163041	759	67	69	92	80	64	78	75	73	70	91	
Hbibab		21161009	759	81	81	81	95	52	78	71	71	82	67	
Enmthj		21166466	758	51	85	77	84	73	63	78	64	93	90	
Qkfc		21166002	758	87	53	71	96	91	71	69	67	87	66	
Fqwcuq		21160819	757	88	96	91	69	56	52	92	57	89	67	
Don		21169645	757	93	62	84	94	53	82	68	70	73	78	
Tptndm		21162095	756	88	92	69	59	77	50	94	63	92	72	
Ozc		21166549	755	96	76	54	56	93	80	73	80	60	87	
Pckwvn		21168805	755	98	88	88	52	83	84	59	78	56	69	
Oju		21162355	754	82	92	69	52	66	64	78	59	99	93	
Ssmzcno		21165498	754	81	64	80	65	94	55	69	95	67	84	
hhh		21168652	752	91	100	60	81	94	66	100	83	84	85	
Beyhju		21164472	752	70	96	60	80	65	68	91	58	73	91	
Anexh		21161376	750	68	50	82	58	66	94	67	89	79	97	
ÍõÊ¥ö©		21161325	750	89	55	60	81	94	66	53	83	84	85	
Knxmsya		21161738	749	63	89	72	83	64	59	63	88	87	81	
Hmb		21165006	749	52	91	77	63	64	98	82	92	80	50	
Gyruei		21161244	749	71	87	53	90	68	69	54	92	81	84	
Qxycrx		21161892	749	80	97	69	64	86	97	67	66	64	59	
Cws		21168617	749	92	90	76	88	62	67	52	85	65	72	
Cksfzk		21164893	748	65	93	58	74	80	88	66	78	79	67	
Ggekjdq		21167487	747	93	71	67	75	88	79	66	55	61	92	
Yur		21160208	746	50	91	69	68	68	88	53	64	97	98	
Yfpbn		21162287	746	59	80	52	85	78	67	97	74	97	57	
Dwrxbz		21168274	746	70	100	58	53	97	55	78	73	82	80	
Ukl		21161759	746	66	52	58	85	90	79	81	56	84	95	
Ssaznm		21160144	746	53	75	50	72	83	90	85	99	54	85	
Axtfhv		21164287	745	50	59	90	97	91	70	63	81	51	93	
Trecuy		21166858	743	79	82	97	65	70	54	62	82	60	92	
Yqpevi		21165350	741	62	92	65	79	95	76	62	63	89	58	
Cvgrzk		21166172	741	73	93	67	69	56	72	56	98	66	91	
Kdpqz		21162722	741	72	64	85	95	62	63	66	82	66	86	
Mkgip		21165021	740	75	58	56	80	73	70	74	80	87	87	
Zzbmnm		21165200	740	95	89	77	58	58	82	55	91	60	75	
Ykzcv		21163661	740	65	88	87	61	73	67	60	72	68	99	
Ayrar		21167469	739	74	98	95	52	76	97	50	66	78	53	
Umphmec		21167726	738	54	67	89	73	64	75	53	84	83	96	
Xjgkj		21166264	738	71	98	74	62	71	80	70	64	82	66	
Czq		21162361	737	64	59	85	84	83	63	93	72	61	73	
Sctyd		21163877	735	65	89	83	54	65	50	94	66	99	70	
Htkydz		21160658	734	75	90	76	81	50	69	73	70	77	73	
Gfn		21168387	733	81	82	73	75	78	74	63	62	78	67	
Aedf		21161184	732	74	99	65	75	52	86	66	71	74	70	
Fgt		21169810	732	72	55	63	55	85	77	97	82	67	79	
Viexdz		21162734	732	55	64	98	54	77	51	76	92	70	95	
Pionee		21169565	731	69	98	91	74	75	69	52	75	61	67	
Utd		21163874	731	61	66	64	74	90	70	74	58	92	82	
Kdk		21162908	731	70	69	65	56	90	65	92	72	62	90	
Wwpzs		21160874	730	88	60	51	73	65	86	96	60	97	54	
Hixj		21161556	729	51	59	52	93	80	70	96	61	83	84	
Yhw		21160900	728	52	95	73	69	85	83	85	76	56	54	
Lkxgbf		21168888	728	94	73	54	68	86	75	74	61	72	71	
Gpr		21163716	728	92	53	88	57	80	56	93	57	61	91	
Zvewxo		21168339	726	73	65	93	63	54	58	61	96	92	71	
Avws		21162439	725	94	51	79	66	52	92	80	67	89	55	
Kkhs		21168546	725	73	88	73	56	78	55	92	94	55	61	
Dfepvlh		21160681	724	96	76	52	67	62	69	82	74	70	76	
Vzdth		21164642	724	57	92	52	92	65	63	87	76	85	55	
Qvmvu		21160811	724	76	75	71	78	73	92	51	54	97	57	
Onmicxa		21164065	724	97	69	59	58	99	65	64	54	66	93	
Gipy		21165831	724	78	68	67	71	70	80	69	94	74	53	
Xfjpwpx		21160493	723	56	65	90	70	58	93	71	89	71	60	
Rsxc		21167093	723	75	94	63	83	95	58	61	78	63	53	
Owqc		21160482	723	79	53	59	73	92	89	72	98	54	54	
Ufsks		21162695	723	50	70	84	55	69	64	87	81	76	87	
Lilgmfc		21163642	722	80	51	64	73	68	97	99	61	74	55	
Ejsrdz		21161543	722	87	57	85	55	53	96	95	62	52	80	
Gbfaa		21162510	722	92	93	61	50	89	98	56	51	54	78	
Ppkxe		21168382	721	74	80	90	88	74	54	60	54	95	52	
Yjuot		21164723	721	76	55	82	52	78	78	84	64	77	75	
Jzxndsi		21161396	717	73	84	72	61	52	64	63	97	98	53	
Gkeu		21167129	717	69	77	100	54	61	58	85	77	71	65	
Knnbec		21167369	716	52	86	51	95	72	74	64	63	70	89	
Okjg		21166439	716	52	88	72	58	82	74	83	81	55	71	
Pnqk		21165678	715	79	63	67	87	50	83	64	59	87	76	
Kzl		21163413	715	87	71	78	71	53	50	86	64	60	95	
Jxj		21162549	714	60	70	79	62	85	67	62	76	85	68	
Xsw		21160542	714	96	53	91	65	78	54	57	79	88	53	
Qzk		21165790	713	65	83	61	81	51	97	61	74	89	51	
Lgr		21162303	713	60	78	79	50	58	100	96	63	52	77	
Vdvybs		21164668	713	88	51	70	100	53	69	81	75	56	70	
Quoq		21168925	712	90	59	92	56	65	87	70	74	59	60	
Lmf		21163650	710	98	73	76	58	68	77	70	66	55	69	
Nwjmwa		21160335	709	88	73	56	69	93	95	54	59	54	68	
Tbbha		21163022	708	87	64	68	80	58	70	95	56	54	76	
Eqzaau		21161497	703	81	66	72	87	77	80	51	84	55	50	
Qvcswje		21164343	701	91	64	61	57	51	68	65	94	78	72	
Eearw		21163503	699	76	78	74	95	76	54	53	84	50	59	
Fsddyg		21161001	699	84	78	57	92	57	50	51	71	65	94	
Dlasolw		21166379	699	79	77	65	54	62	60	60	98	82	62	
Vauxp		21166266	697	59	76	56	72	50	62	66	88	72	96	
Tbbgq		21165821	696	57	66	61	76	85	93	59	56	53	90	
Eanfetc		21168022	695	76	94	69	61	56	97	52	54	58	78	
Kwpnv		21166766	695	87	73	60	74	85	61	55	91	50	59	
Gxrpn		21169741	694	90	63	75	76	55	56	83	66	63	67	
Tiduku		21166923	693	56	90	52	62	86	76	51	65	65	90	
Fpss		21163838	693	92	85	71	52	58	53	65	98	64	55	
Rudltfz		21161240	692	68	52	98	58	69	63	52	72	68	92	
Flkt		21164629	689	92	62	63	64	76	53	93	69	51	66	
Fpzhyuj		21161840	688	67	57	73	53	74	57	63	92	73	79	
Oghtuox		21163105	686	78	56	54	55	68	64	91	50	92	78	
Vhrcbld		21163297	683	66	82	90	58	63	61	80	59	72	52	
Mhchzr		21168712	678	52	62	85	63	52	61	85	82	59	77	
Lovao		21161020	673	56	50	62	95	83	54	69	92	52	60	
Vtte		21166238	672	79	57	53	52	76	67	78	52	81	77	
Ojwpy		21161710	670	54	68	96	72	72	71	72	59	50	56	
Fvriv		21163826	668	63	52	53	62	91	68	70	56	82	71	
Kfp		21163161	666	61	66	72	71	53	96	51	68	71	57	
Yozba		21165891	658	54	52	77	69	69	54	60	55	80	88	
Sknhkw		21161641	657	52	74	56	69	70	56	93	68	56	63	
Rlo		21165710	656	68	88	80	65	77	62	51	52	53	60	
Pxxx		21161085	653	82	88	70	62	58	77	52	51	57	56	
Qgjopa		21162835	647	72	53	75	54	51	53	61	95	74	59	
Rigb		21169949	641	60	56	76	58	67	72	52	75	56	69	
Qghm		21164390	621	51	54	52	73	77	54	63	53	78	66	
hht		21161302	591	59	60	59	59	59	59	59	59	59	59	
